_id,play_type,yards_gained,interception,fumble_lost,rush_attempt,pass_attempt,pass_touchdown,rush_touchdown,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name
ObjectId("5c0c8fec4881fd17b071f4ee"),run,1,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f4ef"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f4f0"),run,7,0,0,1,0,0,0,NA,NA,NA,NA,00-0033553,J.Conner
ObjectId("5c0c8fec4881fd17b071f4f1"),run,6,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f4f2"),run,1,0,0,1,0,0,1,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f4f3"),extra_point,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f4f4"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f4f5"),pass,3,0,0,0,1,0,0,00-0026158,J.Flacco,00-0026995,J.Maclin,NA,NA
ObjectId("5c0c8fec4881fd17b071f4f6"),pass,5,0,0,0,1,0,0,00-0026158,J.Flacco,00-0022943,B.Watson,NA,NA
ObjectId("5c0c8fec4881fd17b071f4f7"),run,-3,0,0,1,0,0,0,NA,NA,NA,NA,00-0031375,T.West
ObjectId("5c0c8fec4881fd17b071f4f8"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f4f9"),punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f4fa"),run,4,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f4fb"),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f4fc"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f4fd"),pass,18,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0030496,L.Bell,NA,NA
ObjectId("5c0c8fec4881fd17b071f4fe"),pass,5,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0031373,M.Bryant,NA,NA
ObjectId("5c0c8fec4881fd17b071f4ff"),run,-1,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f500"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f501"),pass,24,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0031373,M.Bryant,NA,NA
ObjectId("5c0c8fec4881fd17b071f502"),pass,19,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0031373,M.Bryant,NA,NA
ObjectId("5c0c8fec4881fd17b071f503"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f504"),pass,0,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0030496,L.Bell,NA,NA
ObjectId("5c0c8fec4881fd17b071f505"),pass,11,0,0,0,1,1,0,00-0022924,B.Roethlisberger,00-0033857,J.Smith-Schuster,NA,NA
ObjectId("5c0c8fec4881fd17b071f506"),pass,0,0,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0027793,A.Brown,NA,NA
ObjectId("5c0c8fec4881fd17b071f507"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f508"),pass,5,0,0,0,1,0,0,00-0026158,J.Flacco,00-0026901,M.Wallace,NA,NA
ObjectId("5c0c8fec4881fd17b071f509"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f50a"),pass,6,0,0,0,1,0,0,00-0026158,J.Flacco,00-0031577,J.Allen,NA,NA
ObjectId("5c0c8fec4881fd17b071f50b"),qb_spike,0,0,0,0,1,0,0,00-0026158,J.Flacco,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f50c"),pass,6,0,0,0,1,0,0,00-0026158,J.Flacco,00-0032054,B.Perriman,NA,NA
ObjectId("5c0c8fec4881fd17b071f50d"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f50e"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f50f"),run,1,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f510"),run,3,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f511"),pass,0,1,0,0,1,0,0,00-0022924,B.Roethlisberger,00-0027793,A.Brown,NA,NA
ObjectId("5c0c8fec4881fd17b071f512"),pass,0,0,0,0,1,0,0,00-0026158,J.Flacco,00-0032054,B.Perriman,NA,NA
ObjectId("5c0c8fec4881fd17b071f513"),pass,0,0,0,0,1,0,0,00-0026158,J.Flacco,00-0026901,M.Wallace,NA,NA
ObjectId("5c0c8fec4881fd17b071f514"),pass,-6,0,0,0,1,0,0,00-0026158,J.Flacco,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f515"),field_goal,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f516"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fec4881fd17b071f517"),run,6,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f518"),run,17,0,0,1,0,0,0,NA,NA,NA,NA,00-0030496,L.Bell
ObjectId("5c0c8fec4881fd17b071f519"),run,3,0,0,1,0,0,0,NA,NA,NA,NA,00-0026983,D.Heyward-Bey
